3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 1 7 2 5 0
3519121475 4147660077 0 2 1 2 2 0
3516212653 841987269 0 6 7 5 5 0
1556507372 3739223930 0 3 1 3 2 0
4124297404 1384129376 0 3 6 3 4 0
765675334 1683514583 -1 1 0 3 1 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 1 7 2 5 0
3519121475 4147660077 0 2 1 2 2 0
3516212653 841987269 0 6 7 5 5 0
1556507372 3739223930 1 3 1 3 3 0
3510102532 2529180254 1 5 5 4 3 0
2864506503 1739210750 1 3 3 3 4 0
3935103475 2532116969 1 2 5 1 7 0
1009049374 3331812758 1 5 2 4 4 0
701515451 1690078059 1 4 3 5 5 0
3202230874 4096843057 1 5 0 4 1 0
259087538 3069095621 1 5 7 2 4 0
494330260 2049781010 1 4 0 6 0 0
1664780726 207774697 1 4 7 6 7 0
3704031002 962497473 1 4 4 3 2 0
1453861987 899812562 1 2 4 4 6 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 3 6 3 5 0
3318770197 1110938135 1 3 1 3 3 0
1210182397 169324339 1 5 6 5 4 0
1544053832 312576269 1 5 0 2 3 0
3457354373 1281600065 1 5 4 4 3 0
3095930633 3700977039 1 5 2 4 4 0
2910633644 2125695858 1 3 5 3 4 0
4084521333 1608466095 1 3 0 7 4 0
2355068624 260072773 1 6 6 6 5 0
3774249645 2637798003 1 4 4 6 5 0
2741252243 1597831671 1 6 7 5 5 0
775389138 3019065928 1 7 4 4 4 0
3728360970 4025884260 1 5 7 4 6 0
1798186800 3180985673 1 2 3 1 4 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 3 6 3 5 0
3318770197 1110938135 0 3 1 3 3 0
1210182397 169324339 0 6 7 5 5 0
3532943979 3224919988 0 1 0 2 2 0
46900722 1816468973 0 1 7 3 6 0
3730620043 3249209128 0 5 0 2 3 0
3061103658 910461050 0 5 7 4 6 0
56679696 1680567127 0 4 0 6 0 0
2100081970 308553132 0 4 7 6 7 0
3268492190 660131204 0 3 0 4 1 0
2591686549 2171799162 0 2 6 2 5 0
2441528327 3437223316 0 0 1 0 3 0
2853358747 1636154342 0 3 7 2 6 0
717579541 3415941157 1 7 1 7 2 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 3 6 3 5 0
3318770197 1110938135 0 3 1 3 3 0
1210182397 169324339 0 6 7 5 5 0
3532943979 3224919988 0 1 0 2 2 0
46900722 1816468973 0 1 7 3 6 0
3730620043 3249209128 0 5 0 2 3 0
3061103658 910461050 0 5 7 4 6 0
56679696 1680567127 0 4 0 6 0 0
2100081970 308553132 0 4 7 6 7 0
3268492190 660131204 0 3 0 4 1 0
2591686549 2171799162 0 2 6 2 5 0
2441528327 3437223316 0 0 1 0 3 0
2853358747 1636154342 0 3 7 2 6 0
717579541 3415941157 0 5 0 3 0 0
183670049 3675759655 0 3 6 1 5 0
2961890535 1676738495 0 2 3 1 2 0
2299954570 2999199338 0 2 7 6 3 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 3 6 3 5 0
3318770197 1110938135 0 3 1 3 3 0
1210182397 169324339 0 6 7 5 5 0
3532943979 3224919988 0 1 0 2 2 0
46900722 1816468973 0 1 7 3 6 0
3730620043 3249209128 0 5 0 2 3 0
3061103658 910461050 0 5 7 4 6 0
56679696 1680567127 -1 2 3 5 6 0
2995467654 3981719400 -1 4 7 5 6 0
1533236549 2446149443 -1 5 2 6 4 0
2681219932 2270971429 -1 5 6 6 7 0
655358974 3272634371 -1 6 4 4 5 0
204168496 3135770139 -1 3 7 4 7 0
2024930115 2630318478 -1 4 5 2 6 0
3376178733 2183330402 -1 4 7 6 5 0
3172840058 3607552629 -1 2 6 0 7 0
1276844509 1206603390 -1 6 5 6 1 0
1010841330 2820572394 -1 7 0 5 0 0
3211057325 4224659357 -1 5 5 6 3 0
2129221332 3019585587 0 4 1 4 3 0
1122779165 1759848582 0 4 6 4 4 0
3335169722 1055957875 0 6 0 5 2 0
124370606 2806128978 0 3 6 3 5 0
3318770197 1110938135 0 3 1 3 3 0
1210182397 169324339 0 6 7 5 5 0
3532943979 3224919988 1 1 0 2 2 0
46900722 1816468973 1 4 4 3 3 0
3300844833 3729335077 1 5 2 3 3 0
1366729995 3616168644 1 6 6 6 5 0
1038066038 1161012722 1 2 0 4 2 0
1800273187 1490657227 1 5 7 6 6 0
788382908 2052578474 1 3 0 3 1 0
4169090744 3667855303 1 4 7 6 7 0
1199753236 4020498415 1 4 0 2 0 0
804973059 3392357670 1 5 7 4 7 0
3086710475 3139810342 1 5 1 5 2 0
